Experiment: 20221014_ComplementCheck_EH  Selected Filter: SYBR Green I / HRM Dye (483-533)
Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	O15	Sample 351	18.36		0	
True	255	O16	Sample 352	21.36		0	
True	255	O17	Sample 353	15.40		0	
True	255	O18	Sample 354	20.13		0	
True	65280	O19	Sample 355			0	
True	65280	O20	Sample 356			0	
True	65280	O21	Sample 357			0	
True	65280	O22	Sample 358			0	
True	255	O23	Sample 359	30.56		0	
True	65280	O24	Sample 360			0	
